,class,text,n_rt,mention,link,n_emoji,n_char,avg_wrd,emoji,retweet
0,2,as a woman you shouldn t complain about cleaning up your house as a man you should always take the trash out,1,1,0,0,110,3.95,0,1
1,1,boy dats cold tyga dwn bad for cuffin dat hoe in the place,1,1,0,0,60,3.54,0,1
2,1,dawg you ever fuck a bitch and she start to cry you be confused as shit,2,1,0,0,72,3.5,0,1
3,1,she look like a tranny,1,1,0,0,23,3.6,0,1
4,1,the shit you hear about me might be true or it might be faker than the bitch who told it to ya,1,1,0,0,96,3.32,0,1
5,1,the shit just blows me claim you so faithful and down for somebody but still fucking with hoes,0,1,0,3,96,4.28,1,0
6,1,i can not just sit up and hate on another bitch i got too much shit going on,0,1,0,0,78,3.28,0,0
7,1,cause i m tired of you big bitches coming for us skinny girls,0,1,0,0,63,3.77,0,0
8,1,you might not get ya bitch back thats that,0,0,0,0,44,3.78,0,0
9,1,hobbies include fighting mariam bitch,0,1,0,0,38,6.6,0,0
10,1,keeks is a bitch she curves everyone lol i walked into a conversation like this smh,0,0,0,0,84,4.25,0,0
11,1,murda gang bitch its gang land,0,0,0,0,32,4.17,0,0
12,1,so hoes that smoke are losers yea go on ig,0,0,0,0,43,3.3,0,0
13,1,bad bitches is the only thing that i like,0,0,0,0,43,3.67,0,0
14,1,bitch get up off me,0,0,0,0,21,3.0,0,0
15,1,bitch nigga miss me with it,0,0,0,0,29,3.67,0,0
16,1,bitch plz whatever,0,0,0,0,20,5.33,0,0
17,1,bitch who do you love,0,0,0,0,23,3.4,0,0
18,1,bitches get cut off everyday b,0,0,0,0,32,4.17,0,0
19,1,black bottle a bad bitch,0,0,0,0,26,4.0,0,0
20,1,broke bitch cant tell me nothing,0,0,0,0,34,4.5,0,0
21,1,cancel that bitch like nino,0,0,0,0,29,4.6,0,0
22,1,cant you see these hoes wont change,0,0,0,0,37,4.14,0,0
23,1,fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up,0,0,0,3,76,3.75,1,0
24,1,got ya bitch tip toeing on my hardwood floors,0,0,0,1,47,4.11,1,0
25,1,her pussy lips like heaven doors,0,0,0,1,34,4.5,1,0
26,1,hoe what its hitting for,0,0,0,0,26,4.0,0,0
27,1,i met that pussy on ocean dr i gave that pussy a pill,0,0,0,1,55,3.15,1,0
28,1,i need a trippy bitch who fuck on hennessy,0,0,0,0,44,3.78,0,0
29,1,i spend my money how i want bitch its my business,0,0,0,0,51,3.55,0,0
30,1,i txt my old bitch my new bitch pussy wetter,0,0,0,0,46,3.5,0,0
31,1,i d say im back to the old me but my old bitches would get excited,0,0,0,1,68,3.19,1,0
32,1,if you aint bout that murder game pussy nigga shut up,0,0,0,0,55,3.91,0,0
33,1,if you re toes ain t done you pussy stinks,0,0,0,0,44,3.3,0,0
34,1,im done with bitter bitches its a wrap for that if you a angry bird theres a app for that,0,0,0,0,91,3.5,0,0
35,1,is that ya bitch,0,0,0,0,18,3.25,0,0
36,1,it aint nothing to cut a bitch off,0,0,0,0,36,3.38,0,0
37,1,jus meet son now he ya mane ass bitches shots,0,0,0,0,46,3.6,0,0
38,1,lames crying over hoes thats tears of a clown,0,0,0,0,47,4.11,0,0
39,1,like snoop said in we dont love these hoes,0,0,0,0,44,3.78,0,0
40,2,momma said no pussy cats inside my doghouse,0,0,0,0,45,4.5,0,0
41,1,most hated but the hoes favorite sevenone,0,0,0,0,43,5.0,0,0
42,1,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick,0,0,0,0,101,4.0,0,0
43,1,pimps up pimps up hoes down future voice,0,0,0,0,41,4.12,0,0
44,1,post a picture of that pussy get likes,0,0,0,0,40,3.88,0,0
45,1,pussy is a powerful drug happyhumpday,0,0,0,1,39,5.33,1,0
46,1,quick piece of pussy call it a drive by,0,0,0,0,41,3.44,0,0
47,1,running round here like some brand new pussy thats bout to get fucked,0,0,0,0,71,4.38,0,0
48,1,these bitches even worst they ll send them guys for you,0,0,0,0,57,4.09,0,0
49,1,these hoes like niggas that spend money not talk bout it,0,0,0,0,58,4.18,0,0
50,1,we dont trust these niggas all these bitches,0,0,0,0,46,4.62,0,0
51,1,yall niggas b cuffing hoes cause yall aint never have bitches,0,0,0,0,63,4.64,0,0
52,1,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god,0,1,0,2,79,3.59,1,0
53,1,young pill chamberlain these bitches love my music,0,0,0,0,52,5.38,0,0
54,1,teanna trump probably cleaner than most of these twitter hoes but,0,1,0,11,67,5.0,1,0
55,1,gay niggas couldn t wait to act like bitches tonight,0,1,0,10,54,4.3,1,0
56,1,and ima steal his cat n replace it with a pitbull he a bitch you should do it,1,1,0,7,79,3.33,1,1
57,1,he s gone always be a hoe,0,0,0,0,27,2.71,0,0
58,1,son of a bitch took my tic tacs i like this movie,0,0,0,0,51,3.17,0,0
59,1,all i wanna do is get money and fuck model bitches russell simmons,0,0,0,0,67,4.15,0,0
60,1,i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet,0,1,0,0,98,3.9,0,0
61,1,i m a fucking fag they said,0,1,0,0,29,3.0,0,0
62,1,females think dating a pussy is cute now how does doing this stuff make him a pussy,0,1,0,0,85,3.94,0,0
63,2,simplyaddictedtoguys woof woof hot scally lad,0,1,0,0,46,6.67,0,0
64,1,have ya ever asked your bitch for other bitches kanye voice yes,0,1,0,0,64,4.33,0,0
65,1,how u gone bring ur side bitch to a game where you know ya gf friends at i swear,0,1,0,4,82,3.26,1,0
66,2,woof woof and hot soles,0,1,0,0,24,3.8,0,0
67,2,lemmie eat a oreo do these dishes one oreo lol,0,1,0,0,47,3.7,0,0
68,1,bitch fuck u maybe you ll get better just,0,1,0,0,43,3.67,0,0
69,1,fuck red malone man bitch ass niggah could you please use complete sentences,0,1,0,0,78,4.92,0,0
70,2,why the eggplant emoji doe y he say she looked like scream lmao,0,1,0,0,64,3.92,0,0
71,1,hennessey venom gt that s one sexy bitch,0,1,0,1,41,4.12,1,0
72,1,him seh me pussy wetter then a shower curtain ahmesehwetness lmao,0,1,0,0,67,5.0,0,0
73,1,eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,0,1,0,0,116,4.48,0,0
74,1,yo fuck skateboarding all y all some wood pushing faggots man ball is life,0,1,0,0,76,4.36,0,0
75,2,baby monkey bathtime awwwwe this is soooo adorable,0,1,0,0,52,5.38,0,0
76,1,i ain t shit damn skippy lol,0,1,0,4,29,3.14,1,0
77,1,u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b chance,0,1,0,0,121,3.32,0,0
78,1,rings mvps bitches lol,0,1,0,0,23,4.75,0,0
79,1,ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn,0,1,0,0,82,3.76,0,0
80,1,the facts on tattoos tattoo he s a pussy with not tattooing them nipples,0,1,0,0,73,4.21,0,0
81,1,bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches,1,1,0,6,98,4.39,1,1
82,1,get worshiping bitch woof woof,0,1,0,0,31,5.2,0,0
83,1,wow i m lost are those buttcheek piercings yeah she s a hoe,1,1,0,0,60,3.62,0,1
84,1,ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her,0,1,0,0,88,3.19,0,0
85,0,queer gaywad,0,1,0,0,13,5.5,0,0
86,1,faggot read my tweets after dat k it wasn t even funny lol,0,1,0,0,59,3.54,0,0
87,1,this bitch was so ungrateful fr lulwhore,0,1,0,0,41,4.86,0,0
88,1,i been kidnapped yo bitch,0,1,0,0,27,4.2,0,0
89,0,alsarabsss hes a beaner smh you can tell hes a mexican,0,1,0,0,55,4.0,0,0
90,1,happy birthday nigs thanks yo,0,1,0,0,30,5.0,0,0
91,1,when ur teacher tells u that u have homework this bitch need to go,0,1,0,0,68,3.79,0,0
92,1,that nigga was eating that hoe lol hell yea lol john paul nigga said john paul,0,1,0,0,80,3.94,0,0
93,1,what would y all lil ugly bald headed bitches do if they stop making make up weave,0,1,0,0,84,3.88,0,0
94,1,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig,0,1,0,0,105,4.25,0,0
95,1,going back to school sucks more dick than the hoes who attend it,0,1,0,0,66,4.0,0,0
96,1,on my way to fuck yo bitch me as a year old,0,1,0,0,44,2.67,0,0
97,1,how come you never bring me food i dont have a car retard,0,1,0,0,58,3.46,0,0
98,1,if richnow doesn t show up with hella tinder hoes im not his friend anymore chill i brought like like prople,0,1,0,0,109,4.19,0,0
99,1,how bout them cowboys shutup pussy,0,1,0,0,35,4.83,0,0
100,1,lmaooooooooooo this nigga aanpsujmyi bitch want likes for some depressing shit foh,0,1,0,0,83,5.92,0,0
101,1,girl you know i was spitting that g shit to you you was going lbvs bitch plz,0,1,0,0,77,3.53,0,0
102,1,let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again,0,1,0,0,106,3.42,0,0
103,1,harlem shake is just an excuse to go full retard for seconds,0,1,0,0,62,4.08,0,0
